sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species
6.0,3.4,4.5,1.6,versicolor
6.7,3.1,4.7,1.5,versicolor
6.3,2.3,4.4,1.3,versicolor
5.6,3.0,4.1,1.3,versicolor
5.5,2.5,4.0,1.3,versicolor
5.5,2.6,4.4,1.2,versicolor
6.1,3.0,4.6,1.4,versicolor
5.8,2.6,4.0,1.2,versicolor
5.0,2.3,3.3,1.0,versicolor
5.6,2.7,4.2,1.3,versicolor
5.7,3.0,4.2,1.2,versicolor
5.7,2.9,4.2,1.3,versicolor
6.2,2.9,4.3,1.3,versicolor
5.1,2.5,3.0,1.1,versicolor
5.7,2.8,4.1,1.3,versicolor
6.3,3.3,6.0,2.5,virginica
5.8,2.7,5.1,1.9,virginica
7.1,3.0,5.9,2.1,virginica
6.3,2.9,5.6,1.8,virginica
6.5,3.0,5.8,2.2,virginica
7.6,3.0,6.6,2.1,virginica
4.9,2.5,4.5,1.7,virginica
7.3,2.9,6.3,1.8,virginica
6.7,2.5,5.8,1.8,virginica
7.2,3.6,6.1,2.5,virginica
6.5,3.2,5.1,2.0,virginica
6.4,2.7,5.3,1.9,virginica
6.8,3.0,5.5,2.1,virginica
5.7,2.5,5.0,2.0,virginica
5.8,2.8,5.1,2.4,virginica
6.4,3.2,5.3,2.3,virginica
6.5,3.0,5.5,1.8,virginica
7.7,3.8,6.7,2.2,virginica
7.7,2.6,6.9,2.3,virginica
6.0,2.2,5.0,1.5,virginica
6.9,3.2,5.7,2.3,virginica
5.6,2.8,4.9,2.0,virginica
7.7,2.8,6.7,2.0,virginica
6.3,2.7,4.9,1.8,virginica
6.7,3.3,5.7,2.1,virginica
7.2,3.2,6.0,1.8,virginica
6.2,2.8,4.8,1.8,virginica
6.1,3.0,4.9,1.8,virginica
6.4,2.8,5.6,2.1,virginica
7.2,3.0,5.8,1.6,virginica
7.4,2.8,6.1,1.9,virginica
7.9,3.8,6.4,2.0,virginica
6.4,2.8,5.6,2.2,virginica
6.3,2.8,5.1,1.5,virginica
6.1,2.6,5.6,1.4,virginica
7.7,3.0,6.1,2.3,virginica
6.3,3.4,5.6,2.4,virginica
6.4,3.1,5.5,1.8,virginica
6.0,3.0,4.8,1.8,virginica
6.9,3.1,5.4,2.1,virginica
6.7,3.1,5.6,2.4,virginica
6.9,3.1,5.1,2.3,virginica
5.8,2.7,5.1,1.9,virginica
6.8,3.2,5.9,2.3,virginica
6.7,3.3,5.7,2.5,virginica
6.7,3.0,5.2,2.3,virginica
6.3,2.5,5.0,1.9,virginica
6.5,3.0,5.2,2.0,virginica
6.2,3.4,5.4,2.3,virginica
5.9,3.0,5.1,1.8,virginica
9.306966852205738,4.851856384730549,9.988323533984142,4.480754685892853,hybrid
8.722049370633988,4.14674086546198,9.167144573755195,3.866020566859395,hybrid
10.097032125275236,4.507037774271406,9.870831097130578,4.141513800730299,hybrid
9.245268709100115,4.313353761247768,9.64223584396587,3.8818580166448484,hybrid
9.511500795746198,4.42658576962904,9.818454063802104,4.188427747863337,hybrid
10.57376296435053,4.488856818892522,10.585865778545967,4.084642842055163,hybrid
7.849516470476915,4.047512732538909,8.436353401097996,3.719064264261712,hybrid
10.266793224635387,4.377821893872498,10.374330561666023,3.7952364230835873,hybrid
9.802984294382313,3.9934658305660364,9.782894909917024,3.7735080723197387,hybrid
10.323881455605033,5.116471558787933,10.110122722731969,4.433330123246677,hybrid
9.488299261050784,4.729191615256439,9.048717931721267,4.12402546447604,hybrid
9.439653540383572,4.152163777886004,9.331054976745458,3.958288672185077,hybrid
9.85654246720106,4.448118369264034,9.481257600028204,3.987309988391066,hybrid
8.67761917876458,3.9960664982525596,9.01578896363586,3.969055701430579,hybrid
8.818794601853472,4.304408032660537,9.082197865699955,4.42203956986094,hybrid
9.433342162657127,4.7496708103716205,9.34903515016957,4.266090255421519,hybrid
9.54610753296616,4.503320835493297,9.541199440423178,3.7646221030211,hybrid
10.692929385008524,5.321525096749249,10.734633441043064,4.102565414936961,hybrid
10.705838534537529,4.03927151794013,10.876701255395172,4.247895433601765,hybrid
9.046749241729925,3.6249536206220596,9.011716335394517,3.500635215940326,hybrid
9.878259055332492,4.704986309893466,9.680995800921417,4.222392552546717,hybrid
8.49029862739808,4.36218922268276,8.978625039165319,4.03902488999556,hybrid
10.701535691874222,4.351922017192746,10.642775829158314,3.9720793574123334,hybrid
9.3538842175658,4.2572957162576275,8.9341318800027,3.797454576689629,hybrid
9.706150502807391,4.866010890415293,9.684424204463934,4.105897357080402,hybrid
10.252576164856833,4.6750391104345965,9.993758343277767,3.8710615693329187,hybrid
9.201967020167,4.227625970662831,8.768364299602558,3.802377569387145,hybrid
9.023730648615013,4.478578915773853,8.864408858059045,3.676427952507633,hybrid
9.441188637638765,4.282996146769275,9.649981588019111,4.145367660756114,hybrid
10.171526427729658,4.533435029013727,9.852527752380182,3.6390315288861212,hybrid
10.434748117003078,4.3912650706990535,10.178000118561132,3.9074906991092333,hybrid
10.888031253219534,5.385503726665276,10.48882395323961,4.069171644394993,hybrid
9.456845921520655,4.317569431881111,9.55099951482256,4.1889029131923,hybrid
9.297728912490388,4.338661997434639,9.003217073664018,3.497082061845825,hybrid
9.128889567783585,4.077437791892262,9.557470039520465,3.3664969617014564,hybrid
10.679808158616119,4.463913168226958,10.133786753085463,4.342397254791123,hybrid
9.293796193624923,4.900233583014484,9.588977782989652,4.376393844697355,hybrid
9.363479260100405,4.569664038124538,9.514825430903592,3.7212169233624093,hybrid
8.951868190824621,4.454055889250493,8.852288862357273,3.821808629286727,hybrid
9.896811328621146,4.66733430913295,9.3290992917383,4.052051526654719,hybrid
9.623971052595264,4.6278430133668005,9.621346172067376,4.3679898811846165,hybrid
9.882743279447592,4.508599937380284,9.03526996270989,4.26368562216378,hybrid
8.774336251831322,4.25232248684183,9.027451072011145,3.994446393096588,hybrid
9.802889576782531,4.704447254964507,9.909821530461427,4.356551433652794,hybrid
9.726806011270304,4.826667758229728,9.761984052705179,4.497755713113058,hybrid
9.728048277490647,4.504028892658086,9.26281931603643,4.2739740053581174,hybrid
9.33153998027657,4.065605572739787,9.01397069724128,3.960153916492341,hybrid
9.458476372696461,4.481676350154756,9.167044316971278,3.99072594857416,hybrid
9.230670184975718,4.955697779153741,9.411103119074241,4.23780256648076,hybrid
8.902964615074742,4.515971714231311,9.117922869293139,3.7561067735028844,hybrid
